id,tagName,dateCreated,dateOccurred,description,status,submitted by (username),submitted by (first name),submitted by (last name),created in group,clientId,section,region,accuracy(m),latitude,longitude,Extralimital,Animal,Animal Age,Animal Sex,Count,Behaviour,Identifier,Spotted From,Condition,Notes
2331539,Animal Sighting,2022-03-02 18:13:56,2022-03-02 08:00:00,Black rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1865477,30.8491802,,Black Rhino,Adult,,1,,Lodge,,,
2396600,Animal Sighting,2022-03-31 16:13:17,2022-03-01 16:00:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Resting,Camera trap,,,
2330096,Animal Sighting,2022-03-01 16:41:08,2022-03-01 14:00:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.205494,30.9549236,,White Rhino,Adult,Male,2,,Craig,,,
2396589,Animal Sighting,2022-03-31 16:12:29,2022-03-01 11:53:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Resting,Camera trap,,,
2396587,Animal Sighting,2022-03-31 16:11:32,2022-02-28 19:01:00,White and calf,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Female,2,Wallowing,Camera trap,,,
2330102,Animal Sighting,2022-03-01 16:42:11,2022-02-28 19:00:00,Deena and Dakari,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051025,30.8617973,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,,
2330106,Animal Sighting,2022-03-01 16:45:45,2022-02-28 19:00:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.190619,30.8576775,,Black Rhino,Adult,Male,1,Moving,Lodge,,,
2330103,Animal Sighting,2022-03-01 16:43:22,2022-02-28 14:00:00,Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2152495,30.8883834,,Black Rhino,Adult,Female,2,Drinking,Landowner,,,
2396580,Animal Sighting,2022-03-31 16:09:55,2022-02-27 17:16:00,White and calf,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Female,2,Wallowing,Camera trap,,,
2396561,Animal Sighting,2022-03-31 15:59:39,2022-02-25 18:08:00,White rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Drinking,Camera trap,,,
2396617,Animal Sighting,2022-03-31 16:17:47,2022-02-25 16:35:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.18363,30.94651,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2396558,Animal Sighting,2022-03-31 15:58:39,2022-02-24 19:05:00,White 2x,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,2,Drinking,Camera trap,,Good,
2328474,Animal Sighting,2022-02-28 13:34:13,2022-02-21 10:11:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2314178,Animal Sighting,2022-02-18 15:17:45,2022-02-18 15:17:00,Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Mopani,South African Districts,,-24.2433132,30.8957541,,Black Rhino,,,2,,Landowner,,,
2314005,Animal Sighting,2022-02-18 12:23:51,2022-02-18 12:23:00,Deena (no calf),Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1879894,30.8432579,,Black Rhino,Adult,Female,1,Drinking,TA Staff,,,
2313816,Animal Sighting,2022-02-18 10:11:19,2022-02-18 10:11:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1580582,30.9433043,,White Rhino,Adult,Male,2,Moving,Landowner,,,
2328493,Animal Sighting,2022-02-28 13:53:57,2022-02-18 05:46:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.17699,30.88897,,Black Rhino,Adult,Male,1,Drinking,Camera trap,,,
2312771,Animal Sighting,2022-02-17 13:43:12,2022-02-17 13:42:00,Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.218971,30.8980957,,Black Rhino,Adult,,2,Resting,Landowner,,,
2308669,Animal Sighting,2022-02-14 13:52:22,2022-02-14 08:00:00,Zulu Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Mopani,South African Districts,,-24.2369996,30.8922511,,Black Rhino,Adult,,3,Drinking,Landowner,,,
2308672,Animal Sighting,2022-02-14 13:53:16,2022-02-13 07:00:00,Raza and Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1897187,30.8840114,,Black Rhino,Adult,,2,Moving,Landowner,,,
2328492,Animal Sighting,2022-02-28 13:52:41,2022-02-11 00:31:00,Black Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.17699,30.88897,,Black Rhino,Adult,,1,Drinking,Camera trap,,,
2328481,Animal Sighting,2022-02-28 13:44:50,2022-02-07 20:07:00,White rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Drinking,Camera trap,,,
2328471,Animal Sighting,2022-02-28 13:32:24,2022-02-07 12:30:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.18363,30.94651,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2328479,Animal Sighting,2022-02-28 13:40:49,2022-02-07 07:25:00,White 2x,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,,,2,Drinking,Camera trap,,,
2328478,Animal Sighting,2022-02-28 13:37:32,2022-02-07 02:00:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Drinking,Camera trap,,,
2299129,Animal Sighting,2022-02-06 17:42:02,2022-02-06 17:00:00,Deena and newborn calf,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2053827,30.8613172,,Black Rhino,Adult,Female,2,,Landowner,,,
2328491,Animal Sighting,2022-02-28 13:50:46,2022-02-04 18:50:00,Duchess and Duke,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.17699,30.88897,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,,
2328477,Animal Sighting,2022-02-28 13:35:33,2022-02-02 11:00:00,White 3x and calf,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,4,Drinking,Camera trap,,,
2328490,Animal Sighting,2022-02-28 13:48:50,2022-01-30 05:45:00,Duchess and Duke,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.17699,30.88897,,Black Rhino,Adult,Female,2,Drinking,Camera trap,,,
2289393,Animal Sighting,2022-01-29 16:04:39,2022-01-29 16:05:00,Duchess and Duke (Dotty?),Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.183755,30.902441,,Black Rhino,Adult,Female,2,,Landowner,,,
2288448,Animal Sighting,2022-01-28 13:33:39,2022-01-28 13:00:00,Deena,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2056897,30.861969,,Black Rhino,Adult,Female,1,Drinking,TA staff,,,
2285885,Animal Sighting,2022-01-26 10:42:53,2022-01-26 10:43:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1936859,30.8823645,,Black Rhino,Adult,Male,1,Moving,Landowner,,,
2291402,Animal Sighting,2022-01-31 12:19:58,2022-01-26 10:10:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2283989,Animal Sighting,2022-01-24 18:23:16,2022-01-24 18:23:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2146071,30.8884397,,Black Rhino,Adult,Male,1,Moving,Landowner,,,
2291409,Animal Sighting,2022-01-31 12:25:51,2022-01-24 11:31:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2281308,Animal Sighting,2022-01-22 07:37:07,2022-01-22 07:37:34,Oscar one relocated a Male lion at kumiyela drainage east side,Logged,oscar1,Oscar,1,Black Mambas,41377,Olifants West,Balule,4,-24.172262,30.849709,,Lion,Adult,Male,1,,,,,
2291408,Animal Sighting,2022-01-31 12:24:24,2022-01-21 20:14:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,,Drinking,Camera trap,,,
2281709,Animal Sighting,2022-01-22 12:14:12,2022-01-21 18:00:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1950554,30.8816162,,Black Rhino,Adult,Male,1,Moving,Lodge,,,
